x             rho           u             mdot          tau           T             H2            O2            H2O           H             O             OH            HO2           H2O2          AR            sumfracs      
3.066687e-04  1.835294e-02  2.925962e+00  5.370000e-02  1.048095e-04  1.500000e+03  2.797421e-01  8.989953e-02  1.735191e-04  1.580805e-04  1.579014e-05  9.902669e-06  8.851118e-07  2.213342e-09  6.300002e-01  1.000000e+00  
3.100274e-04  1.835294e-02  2.925962e+00  5.370000e-02  1.059574e-04  1.500000e+03  2.797276e-01  8.989391e-02  1.832943e-04  1.669456e-04  1.667677e-05  1.045479e-05  8.936971e-07  2.247150e-09  6.300002e-01  1.000000e+00  
3.133862e-04  1.835294e-02  2.925962e+00  5.370000e-02  1.071053e-04  1.500000e+03  2.797124e-01  8.988799e-02  1.936136e-04  1.763033e-04  1.761268e-05  1.103760e-05  9.020853e-07  2.280883e-09  6.300002e-01  1.000000e+00  
3.167449e-04  1.835294e-02  2.925962e+00  5.370000e-02  1.082533e-04  1.500000e+03  2.796962e-01  8.988173e-02  2.045073e-04  1.861813e-04  1.860061e-05  1.165282e-05  9.102605e-07  2.314523e-09  6.300002e-01  1.000000e+00  
3.221882e-04  1.835294e-02  2.925961e+00  5.370000e-02  1.101136e-04  1.500000e+03  2.796681e-01  8.987085e-02  2.234643e-04  2.033695e-04  2.031964e-05  1.272332e-05  9.230145e-07  2.368795e-09  6.300002e-01  1.000000e+00  
3.276314e-04  1.835294e-02  2.925961e+00  5.370000e-02  1.119739e-04  1.500000e+03  2.796375e-01  8.985897e-02  2.441600e-04  2.221322e-04  2.219613e-05  1.389190e-05  9.350928e-07  2.422686e-09  6.300002e-01  1.000000e+00  
3.330747e-04  1.835294e-02  2.925961e+00  5.370000e-02  1.138342e-04  1.500000e+03  2.796040e-01  8.984600e-02  2.667522e-04  2.426126e-04  2.424438e-05  1.516745e-05  9.464201e-07  2.476107e-09  6.300003e-01  1.000000e+00  
3.385179e-04  1.835294e-02  2.925961e+00  5.370000e-02  1.156946e-04  1.500000e+03  2.795675e-01  8.983185e-02  2.914140e-04  2.649673e-04  2.648004e-05  1.655972e-05  9.569194e-07  2.528963e-09  6.300003e-01  1.000000e+00  
3.439612e-04  1.835294e-02  2.925961e+00  5.370000e-02  1.175549e-04  1.500000e+03  2.795276e-01  8.981641e-02  3.183341e-04  2.893673e-04  2.892023e-05  1.807934e-05  9.665131e-07  2.581156e-09  6.300003e-01  1.000000e+00  
3.494044e-04  1.835295e-02  2.925961e+00  5.370000e-02  1.194152e-04  1.500000e+03  2.794841e-01  8.979955e-02  3.477185e-04  3.159991e-04  3.158357e-05  1.973791e-05  9.751252e-07  2.632587e-09  6.300004e-01  1.000000e+00  
